"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GB","01.01.2020 11:00 - 01.01.2020 11:30 (UTC)","2363","n/e","n/e","10425","1400","0","n/e","n/e","n/e","0","","811","n/e","n/e","6951","125","n/e","1010","n/e","1389","4193"
"BZN|GB","01.01.2020 11:30 - 01.01.2020 12:00 (UTC)","2368","n/e","n/e","11053","1301","0","n/e","n/e","n/e","0","","805","n/e","n/e","6953","131","n/e","980","n/e","1341","4572"
"BZN|GB","01.01.2020 12:00 - 01.01.2020 12:30 (UTC)","2366","n/e","n/e","12040","1386","0","n/e","n/e","n/e","67","","774","n/e","n/e","6952","164","n/e","987","n/e","1277","4780"
"BZN|GB","01.01.2020 12:30 - 01.01.2020 13:00 (UTC)","2367","n/e","n/e","12577","1521","0","n/e","n/e","n/e","0","","785","n/e","n/e","6958","124","n/e","934","n/e","1370","4703"
"BZN|GB","01.01.2020 13:00 - 01.01.2020 13:30 (UTC)","2365","n/e","n/e","12568","1516","0","n/e","n/e","n/e","0","","783","n/e","n/e","6948","126","n/e","798","n/e","1548","4393"
"BZN|GB","01.01.2020 13:30 - 01.01.2020 14:00 (UTC)","2357","n/e","n/e","12416","1609","0","n/e","n/e","n/e","0","","792","n/e","n/e","6972","124","n/e","650","n/e","1586","4402"
"BZN|GB","01.01.2020 14:00 - 01.01.2020 14:30 (UTC)","2358","n/e","n/e","11960","1508","0","n/e","n/e","n/e","0","","845","n/e","n/e","6963","125","n/e","458","n/e","1873","4466"
"BZN|GB","01.01.2020 14:30 - 01.01.2020 15:00 (UTC)","2359","n/e","n/e","11949","1469","0","n/e","n/e","n/e","0","","839","n/e","n/e","6964","123","n/e","252","n/e","1937","4619"
"BZN|GB","01.01.2020 15:00 - 01.01.2020 15:30 (UTC)","2361","n/e","n/e","12106","1402","0","n/e","n/e","n/e","59","","898","n/e","n/e","6959","123","n/e","96","n/e","2005","4709"
"BZN|GB","01.01.2020 15:30 - 01.01.2020 16:00 (UTC)","2266","n/e","n/e","12178","1545","0","n/e","n/e","n/e","38","","954","n/e","n/e","6965","122","n/e","12","n/e","2152","4707"
"BZN|GB","01.01.2020 16:00 - 01.01.2020 16:30 (UTC)","2309","n/e","n/e","12492","1527","0","n/e","n/e","n/e","38","","951","n/e","n/e","6962","132","n/e","0","n/e","2260","4898"
"BZN|GB","01.01.2020 16:30 - 01.01.2020 17:00 (UTC)","2355","n/e","n/e","12662","1541","0","n/e","n/e","n/e","607","","971","n/e","n/e","6955","141","n/e","0","n/e","2372","5023"
"BZN|GB","01.01.2020 17:00 - 01.01.2020 17:30 (UTC)","2359","n/e","n/e","12546","1475","0","n/e","n/e","n/e","1556","","989","n/e","n/e","6962","201","n/e","0","n/e","2464","5056"
"BZN|GB","01.01.2020 17:30 - 01.01.2020 18:00 (UTC)","2359","n/e","n/e","12606","1614","0","n/e","n/e","n/e","1459","","994","n/e","n/e","6965","200","n/e","0","n/e","2466","5035"
"BZN|GB","01.01.2020 18:00 - 01.01.2020 18:30 (UTC)","2365","n/e","n/e","12587","1576","0","n/e","n/e","n/e","1361","","978","n/e","n/e","6962","188","n/e","0","n/e","2536","5126"
"BZN|GB","01.01.2020 18:30 - 01.01.2020 19:00 (UTC)","2363","n/e","n/e","12611","1618","0","n/e","n/e","n/e","352","","961","n/e","n/e","6962","180","n/e","0","n/e","2657","5148"
"BZN|GB","01.01.2020 19:00 - 01.01.2020 19:30 (UTC)","2364","n/e","n/e","11947","1619","0","n/e","n/e","n/e","259","","961","n/e","n/e","6962","158","n/e","0","n/e","2721","5242"
"BZN|GB","01.01.2020 19:30 - 01.01.2020 20:00 (UTC)","2362","n/e","n/e","10855","1616","0","n/e","n/e","n/e","298","","950","n/e","n/e","6952","144","n/e","0","n/e","2779","5360"
"BZN|GB","01.01.2020 20:00 - 01.01.2020 20:30 (UTC)","2362","n/e","n/e","10111","1603","0","n/e","n/e","n/e","68","","763","n/e","n/e","6955","159","n/e","0","n/e","2545","5425"
"BZN|GB","01.01.2020 20:30 - 01.01.2020 21:00 (UTC)","2365","n/e","n/e","9485","1405","0","n/e","n/e","n/e","26","","582","n/e","n/e","6961","133","n/e","0","n/e","2430","5521"
"BZN|GB","01.01.2020 21:00 - 01.01.2020 21:30 (UTC)","2361","n/e","n/e","8758","1377","0","n/e","n/e","n/e","0","","452","n/e","n/e","6967","121","n/e","0","n/e","2490","5695"
"BZN|GB","01.01.2020 21:30 - 01.01.2020 22:00 (UTC)","2198","n/e","n/e","7514","1298","0","n/e","n/e","n/e","0","","441","n/e","n/e","6959","122","n/e","0","n/e","2421","5582"
"BZN|GB","01.01.2020 22:00 - 01.01.2020 22:30 (UTC)","2238","n/e","n/e","7093","1181","0","n/e","n/e","n/e","0","","439","n/e","n/e","6965","122","n/e","0","n/e","2467","5562"
"BZN|GB","01.01.2020 22:30 - 01.01.2020 23:00 (UTC)","2149","n/e","n/e","6159","944","0","n/e","n/e","n/e","0","","439","n/e","n/e","6960","126","n/e","0","n/e","2453","5625"
"BZN|GB","01.01.2020 23:00 - 01.01.2020 23:30 (UTC)","1868","n/e","n/e","5326","937","0","n/e","n/e","n/e","53","","419","n/e","n/e","6967","128","n/e","0","n/e","2423","5739"
"BZN|GB","01.01.2020 23:30 - 02.01.2020 00:00 (UTC)","1733","n/e","n/e","4731","671","0","n/e","n/e","n/e","0","","419","n/e","n/e","6976","121","n/e","0","n/e","2438","5638"
"BZN|GB","02.01.2020 00:00 - 02.01.2020 00:30 (UTC)","1515","n/e","n/e","4137","673","0","n/e","n/e","n/e","0","","405","n/e","n/e","6963","121","n/e","0","n/e","2573","5268"
"BZN|GB","02.01.2020 00:30 - 02.01.2020 01:00 (UTC)","1609","n/e","n/e","4151","670","0","n/e","n/e","n/e","0","","404","n/e","n/e","6966","122","n/e","0","n/e","2656","5290"
"BZN|GB","02.01.2020 01:00 - 02.01.2020 01:30 (UTC)","1897","n/e","n/e","4456","670","0","n/e","n/e","n/e","0","","402","n/e","n/e","6967","122","n/e","0","n/e","2647","5470"
"BZN|GB","02.01.2020 01:30 - 02.01.2020 02:00 (UTC)","1982","n/e","n/e","4146","668","0","n/e","n/e","n/e","0","","404","n/e","n/e","6963","121","n/e","0","n/e","2736","5361"
